joueur,victoires,defaites,nuls,recrutement
TLE84,3,1,0,0
Bazouzou,3,0,0,0
Cion,3,1,0,0
Ecto,3,1,0,0
ADB_RemiWanKenobi,3,1,0,0
glorf,2,2,0,0
ADB_Samyfit,2,2,0,0
Barathrum,2,2,0,0
ADB_Dracos,2,2,0,0
ValKiddo,1,2,1,0
Durritos,1,3,0,0
missnobody,1,3,0,0
MRG31,1,3,0,0
Brataux,0,3,1,0
