joueur,victoires,defaites,recrutement
Eivro,3,1,0
ADB_Samyfit,3,1,0
ADB_RemiWanKenobi,3,1,0
Bazouzou,3,0,0
ValKiddo,2,2,0
Brataux,2,2,0
cbourges,2,2,0
Djexdje,1,3,0
missnobody,0,3,0
