joueur,victoires,defaites,nuls,recrutement
Bazouzou,3,0,0,0
ValKiddo,2,1,0,0
Djexdje,2,1,0,0
Brataux,2,1,0,0
missnobody,1,2,0,0
ADB_Samyfit,1,2,0,0
ADB_RemiWanKenobi,1,2,0,0
