joueur,victoires,defaites,nuls,recrutement
Barathrum,4,1,0,0
Brataux,3,2,0,0
Djexdje,3,2,0,0
ADB_Dracos,3,0,0,0
ADB_RemiWanKenobi,3,1,0,0
ADB_Samyfit,3,0,0,0
Eivro,3,1,0,0
Bazouzou,3,2,0,0
Ecto,3,1,0,0
Cion,2,2,0,0
MRG31,2,2,0,0
le_Schtroumpf,2,2,0,0
cbourges,2,3,0,0
TheHolyBob,2,3,0,0
Kent0010,1,3,0,0
ThibLaFrite,1,4,0,0
Pololufi,1,3,0,0
Nerraw,1,4,0,0
missnobody,1,3,0,0
