joueur,victoires,defaites,nuls,recrutement
Cion,4,0,0,0
ADB_Samyfit,4,1,0,0
TLE84,4,0,0,0
Bazouzou,3,2,0,0
Dracos,3,1,0,0
Quanchin83,3,2,0,0
cbourges,3,2,0,0
Ecto,3,2,0,0
Barathrum,3,1,0,0
Brataux,2,3,0,0
ADB_RemiWanKenobi,2,3,0,0
MRG31,2,2,0,0
Kent0010,2,3,0,0
missnobody,2,3,0,0
Djexdje,1,4,0,0
Nerraw,1,4,0,0
TheHolyBob,1,4,0,0
ThibLaFrite,0,5,0,0
