# forfait
joueur,victoires,defaites,nuls,recrutement
Wiknuw,0,0,0,0
Darkus,0,0,0,0
missnobody,0,0,0,0
CrYad,0,0,0,0
Eivro,0,0,0,0
Piscouman,0,0,0,0
Quanchin83,0,0,0,0
Ecto,0,0,0,0
TLE,0,0,0,0
Jean-Lou,0,0,0,0
fuego1131,0,0,0,0
