joueur,victoires,defaites,recrutement
Skywalker,3,0,1
Kenobi,2,1,0
Ahsoka,2,1,0
Solo,2,1,0
Maul,1,2,0
Ventress,1,2,0
Boba,1,2,0
Tarkin,0,3,0
