joueur,victoires,defaites,nuls,recrutement
Valens26,4,0,0,0
alnef,3,1,0,0
PandaKen0b1,3,1,0,0
Gamerslash66,3,1,0,0
Scial,2,2,0,0
ZaZ333,2,2,0,0
desert5eagull,1,3,0,0
Nwarht,1,3,0,0
jwpnb,1,3,0,0
