joueur,victoires,defaites,nuls,recrutement
Gamerslash66,3,0,0,0
desert5eagull,2,1,0,0
Pjrbs,2,1,0,0
ZaZ333,1,2,0,0
Scial,1,2,0,0
PandaKen0b1,0,3,0,0
